"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
0.299414734164,10.9860125511,17.2938013836,186.581604557,-149.263338872
0.305678640736,12.2534155327,16.3219795818,192.149492131,-143.736291549
0.311942547309,13.4300391312,15.5536439334,192.161160774,-146.023345614
0.318206453881,14.6658666752,14.5489310508,190.659795351,-155.430216796
0.324470360454,15.7832863282,13.5551818617,194.228455392,-158.893859049
0.330734267026,17.0910357023,12.553977361,199.623258092,-161.840191453
0.336998173599,18.287832497,11.5343538551,204.529922552,-164.543427125
0.343262080171,19.6521545302,10.5037666555,209.516322741,-169.597894399
0.349525986744,20.9454318287,9.38152297733,209.769143343,-170.632514095
0.355789893316,22.2509884641,8.41715648717,213.742316348,-177.709546188
0.362053799889,23.631098216,7.09668922849,217.176786993,-177.550074731
0.368317706461,24.9748085051,6.16872220113,221.688662359,-173.617741977
0.374581613034,26.3479014932,5.02937516093,234.952020114,-181.774123564
0.380845519606,27.9038688906,3.75846379737,251.116980476,-170.204663845
0.387109426179,29.5264955453,2.81251631249,264.004996876,-143.98327783
0.393373332751,31.185083115,1.97182028628,279.584580304,-114.603579059
0.399637239324,33.019966878,1.25786455824,295.603682626,-66.8438224957
0.405901145896,34.9609791951,1.09472479729,300.278918996,-12.3181976576
0.412165052468,36.7818294303,1.16927791385,302.363716578,34.6753180035
0.418428959041,38.8136211305,1.50871386809,292.247002936,82.6198280843
0.424692865613,40.4972059217,2.2213539529,271.078139421,125.819089936
0.430956772186,42.262799141,3.17475674944,240.395442161,156.274248653
0.437220678758,43.5780038268,4.17990817983,199.37043749,184.850755818
0.443484585331,44.6581469215,5.44073294526,171.12843143,217.439331465
0.449748491903,45.7303961568,6.98617519688,141.025276782,237.172951868
0.456012398476,46.5140809762,8.50442748833,99.1951357312,241.982377634
0.462276305048,46.9613996756,10.008646252,57.6061466395,244.74784607
0.468540211621,47.2104947944,11.597943278,18.8273557819,241.81901663
0.474804118193,47.2104947944,13.0732178905,-19.9650484927,232.559948261
0.481068024766,46.9403493838,14.5287578545,-54.2202953414,219.74194372
0.487331931338,46.4553155784,15.8623815455,-76.28181006,200.86985814
0.493595837911,45.9615108181,17.0083068019,-92.4973345419,186.455194256
0.499859744483,45.2782534322,18.2270309839,-104.175701598,167.723132393
0.506123651055,44.6151692425,19.1168443574,-109.341020982,147.760028675
0.512387557628,43.9213867107,20.0728784405,-115.612916695,128.495098773
0.5186514642,43.1675231379,20.7421022986,-121.153577435,107.617951338
0.524915370773,42.3926092734,21.3683484777,-124.696955416,94.1678952915
0.531179277345,41.5764719209,21.9327594249,-123.934604061,79.8582491967
0.537443183918,40.8331334939,22.3879719837,-121.785628941,63.3724011476
0.54370709049,40.0801470166,22.6905699274,-123.450355369,50.8772290684
0.549970997063,39.2714649758,23.0589500327,-123.567041801,34.2746945874
0.556234903635,38.5351433128,23.1405199132,-124.216596271,14.8969678018
0.562498810208,37.7334780358,23.1791121147,-126.760360486,3.76897174934
0.56876271678,36.9160250401,23.238754608,-124.58804808,-13.531736549
0.575026623353,36.1564603466,23.0212349267,-120.161742764,-32.1743388138
0.581290529925,35.4126833719,22.7695085214,-116.406384432,-42.7052892899
0.587554436498,34.7373198454,22.5414636942,-118.106116789,-59.6481591972
0.59381834307,33.957143408,22.0213460693,-123.185866123,-76.0970565429
0.600082249643,33.1326736483,21.5192089018,-120.264815779,-84.3642902407
0.606346156215,32.4542402876,21.0275968802,-117.246526741,-100.634268391
0.612610062787,31.6951141418,20.2873282875,-118.434783572,-120.729616732
0.61887396936,30.9456360465,19.4514562865,-117.328207243,-133.409542329
0.625137875932,30.2707110677,18.6449669844,-122.390453613,-150.054861835
0.631401782505,29.4133502272,17.6047317344,-127.518822293,-170.690857311
0.637665689077,28.6173860709,16.4851193427,-125.150087726,-188.28911601
0.64392959565,27.8788716692,15.2172778134,-126.12830898,-202.003661303
0.650193502222,27.0197566377,13.9375954949,-124.070738232,-212.719365296
0.656457408795,26.2873819044,12.6013405174,-113.041925646,-228.575106613
0.662721315367,25.5852669655,11.0309010444,-91.7738786643,-236.649807698
