"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
0,15.9414614126,38.655990395,-5.10476528242,-5.27060687365
0.310163777447,14.9210358818,37.4718337012,-7.37759686856,-7.06044000659
0.346915349686,13.8675333483,36.5655238294,-20.5404306477,-17.2819162277
0.383666921925,12.5642994451,35.541239315,-29.217244633,-23.6590186317
0.387007973946,12.5642994451,35.541239315,-46.5375284081,-39.731735236
0.390349025968,12.1938370158,35.2214949563,-58.057966869,-55.4174764129
0.39369007799,12.0973624248,35.041225292,-49.5327547246,-38.3861530578
0.423759546186,10.693794947,34.102389701,-54.041901875,-42.0355678959
0.450487962359,9.16508614256,32.8118353154,-59.8847310866,-47.8377533052
0.487239534599,6.82543949059,31.000869422,-64.461238675,-52.4744185893
0.510626898751,5.32539742178,29.6893662681,-71.3651417389,-59.3110360734
0.534014262903,3.47749554209,28.1937344663,-79.23981573,-66.1810959032
0.557401627055,1.56674735742,26.5442946024,-85.4508726929,-71.5339667325
0.580788991207,-0.506078140083,24.9036752724,-91.3025090628,-77.8174128726
0.607517407381,-3.02489188958,22.6020671735,-96.059748012,-81.7986417259
0.637586875577,-5.93070656973,20.1918562492,-101.756512988,-83.9945105104
0.660974239729,-8.39825096516,18.202825825,-110.350769877,-89.3873974683
0.684361603881,-11.1678986512,16.0390385703,-117.030131824,-96.5585857415
0.707748968033,-13.9347899203,13.6288276461,-121.799358674,-102.494102563
0.727795280164,-16.4580139368,11.5372585138,-126.982639586,-107.068470027
0.744500540272,-18.597544723,9.71085668579,-132.977260956,-111.968785268
0.764546852403,-21.3164743383,7.40869730345,-139.962803146,-114.055103083
0.787934216555,-24.6682772705,4.57620331245,-147.218401512,-107.051549528
0.807980528685,-27.6777332255,2.56346770303,-157.561235817,-88.7623650183
0.821344736772,-29.9087770522,1.60478591044,-174.112743069,-59.4050428156
0.834708944859,-32.4457831531,1.20179776185,-190.146889816,-30.1883339072
0.841391048903,-33.8642352821,1.10366932075,-195.965731282,4.75833453061
0.848073152946,-35.1365973162,1.25472096604,-185.881302134,44.8553801778
0.858096309011,-37.0765635199,1.71008103544,-165.76278169,82.3068697694
0.87480156912,-39.8186470371,3.29446946093,-138.333890215,110.346248772
0.894847881251,-42.4493713121,5.70909065217,-102.94657882,132.982112394
0.911553141359,-43.8082848364,8.31721230874,-56.2041602174,146.83422612
0.93159945349,-44.5282609268,11.3090271957,-8.52981265528,147.631797833
0.948304713598,-44.0822726748,13.9546361219,32.4162823888,136.019119244
0.97169207775,-42.9284365667,16.9122714395,57.3516806028,116.390413234
0.988397337859,-41.6753694508,18.5198137668,76.6640358302,97.6154877376
1.00510259797,-40.3241738938,20.1857921321,91.5350323947,77.5794849388
1.0251489101,-38.17196359,21.4046796786,98.1933330737,57.4003618082
1.04185417021,-36.5550494453,22.0981941669,96.4578907559,42.6904480909
1.05187732627,-35.6355087724,22.4642463292,95.2355582952,29.1994550563
1.06190048234,-34.7016347318,22.6875160969,99.1548447941,13.4349053344
1.0719236384,-33.6508886152,22.6230159418,103.872095261,6.23161070299
1.08194679447,-32.5836039974,22.8683370446,105.425444285,-5.60063520815
1.09196995053,-31.5025372951,22.6362467428,103.255167635,-25.5044114128
1.10867521064,-29.8668795155,22.2150662428,103.64551004,-42.3745626024
1.12538047075,-27.9677082818,21.333564123,100.163701797,-63.0581460741
1.14208573086,-26.5244484008,20.1648433638,95.2997874467,-85.8629251027
1.15879099097,-24.7063158235,18.5082368159,84.9492356762,-109.440957248
1.1788373031,-23.1423248829,16.018089802,60.6459917952,-125.809366668
1.19554256321,-22.4642463292,13.8493409969,31.3673072323,-139.517478493
1.21224782332,-21.9190270694,11.3597452664,-8.99682649301,-150.813512497
1.23229413545,-22.667118612,8.12316056004,-52.756562207,-149.422862793
1.25234044758,-24.002326951,5.142922624,-98.2564103553,-132.591911621
1.26904570769,-26.2521144126,2.90195569651,-143.585179702,-93.0718560296
1.28909201982,-29.4914555358,1.30158005309,-168.080854194,-38.1428876522
1.31582043599,-34.4695444301,0.911271422175,-172.012699993,15.4839385298
1.33920780014,-38.5297465017,2.19576169058,-157.352907198,65.734126494
1.35591306025,-40.8352135843,4.00341988375,-137.448513167,92.8329884403
1.38598252845,-44.7537358279,7.01618353903,-126.600444068,95.8334589227
1.4093698926,-47.6871146769,9.22627859741,-115.160409492,91.3829092985
1.43609830877,-50.5019675999,11.6012073855,-105.319010389,85.3553304184
1.46282672495,-53.2782306864,13.8107511605,-97.6873564604,79.1181848646
1.49623724516,-56.446456254,16.3863470978,-89.3368516142,72.8579540776
1.52964776538,-59.2574501933,18.749698935,-81.0925083845,65.2725027698
1.5630582856,-61.9642515744,20.7657422447,-70.2228517214,57.1479121313
1.59646880582,-63.967064083,22.5177208168,-59.4231013757,50.8459659224
1.63322037805,-66.0481588312,24.3579047292,-51.7130793943,44.9690570223
1.67665405434,-68.1832793503,26.0696396148,-40.7918012013,39.1592487385
1.6866772104,-67.964971133,26.2692041973,-8.44863388414,28.8043427204
